preco_total,area_util,local,vagas,titulo,endereco,descricao
600000.0,250.0,Taguatinga,5,Residencial E Comercial Qnj 08 Residencial E Comercial Qnj 08,"QNJ 08, Taguatinga Norte, Taguatinga QNJ 08, Taguatinga Norte, Taguatinga","Rejania Aragão imóveis vende excelente imóvel RESIDENCIAL E COMERCIAL. Pode ser construído três vezes o tamanho, sendo todo comercial, ou comercial em baixo e residencial em cima. Excelente ponto para academia, drogarias, mercearias etc. Hoje no lote há duas casas, onde você pode morar e alugar. Casa da frente: * Três quartos sendo uma suíte, *Sala *Cozinha *Banheiro *Área de serviço Casa dos Fundos: * Sala *Quarto amplo * Copa * Cozinha *Banheiro *Área de serviço Para maiores informações: WhatsApp (61) 9 Ver dados Rejania - Vivo WhatsApp (61) 9 Ver dados Sérgio – Tim Escritório: Ver dados E-mail: Ver dados Prezado Cliente, precisando comprar, vender ou alugar o seu imóvel, por favor, entre em contato conosco!!! Teremos imenso prazer em atendê-lo!! Atenciosamente, Equipe Rejania Aragão Imóveis"
880000.0,450.0,Vicente Pires,10,Comercial - Vicente Pires Comercial - Vicente Pires,"RUA RUA 3 CHÁCARA 86, Vicente Pires, Vicente Pires RUA RUA 3 CHÁCARA 86, Vicente Pires, Vicente Pires","para um rápido contato por favor me adicione no whats app 61 Ver dados timErnani Nunes vende com Exclusividade :GALPAO com lote de 400 mts Composto por 3 escritórios com ar condicionado , armários planejados e piso flutuante , sala de reuniões apartamento de 1 quarto para o porteiro ou zelador almoxerifadovestiário com banheiros refeitórioPé direito bem alto , assim permitindo a entrada caminhões altos aceita 50% de permuta por imóveis urbanos no DF.SETOR HABITACIONAL VICENTE PIRES, BRASÍLIA450,00 área construída, 450,00 útil, 400,00 totalErnani Nunes creci Ver dados 61 Ver dados Tim e Whats app61 Ver dados Oi e Whats app - 21/04/2018"
200000.0,35.0,Goiás,0,Sala A Venda Bom E Barato Desocupada Aceita Troca em Apartamento De Maior Valor Sala A Venda Bom E Barato Desocupada Aceita Troca em Apartamento De Maior Valor,"RUA COPAÍBA , Águas Claras, Distrito Federal RUA COPAÍBA , Águas Claras, Distrito Federal","DF CENTURY E PLAZA ÁGUAS CLARAS BRASÍLIA DF SALA A VENDA NO DF CENTURY E PLAZA SALA DE CANTO EM ANDAR ALTO ESTUDA PROPOSTA E TROCA POR APARTAMENTO PREFERENCIALMENTE DE MAIOR VALOR, IMÓVEL QUITADO, SALA COMERCIAL COM DIREITO DE USO A VAGA DE GARAGEM. ANDAR ALTO, ÓTIMA OPÇÃO DE INVESTIMENTO, POIS SE TRATA DO CENTRO COMERCIAL MAIS MODERNO E VALORIZADO DE ÁGUAS CLARAS. ENTRE EM CONTATO: TEREI IMENSA SATISFAÇÃO EM LHE ATENDER. Ver dados VIVO"
970000.0,260.0,Taguatinga,0,Vila São José - Colônia Agrícola Samambaia - Pr0017 Vila São José - Colônia Agrícola Samambaia - Pr0017,"Rua 10 Chácara 169 0, Vila São José, Taguatinga Rua 10 Chácara 169 0, Vila São José, Taguatinga","Vila São José - Colônia Agrícola SamambaiaLoja com 260m², e 05 Apartamentos de 1 quarto.Alugado.Frente para o Pistão Norte.**ATENÇÃO**Informamos que a Thaís Imobiliária não recebe ou autoriza que qualquer corretor parceiro receba sinal ou pagamentos de compra de imóveis. Os devidos pagamentos deverão ser efetuados nas contas e nos termos estabelecidos no instrumento de compra e venda assinado e reconhecido em cartório. *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada. Plantão de atendimentoLigue agora e agende sua visita! - 12/02/2019"
125000.0,45.0,Goiás,0,"05134 - Comercial 1 Dorm, Bandeirantes - Caldas Novas/go 05134 - Comercial 1 Dorm, Bandeirantes - Caldas Novas/go",", Bandeirante, Caldas Novas , Bandeirante, Caldas Novas","Novíssimo Apartamento de 1 Quarto em Caldas Novas no Residencial Fiori Praime Apartamento de 1 quarto , sala , cozinha gorne junto com a sacada , lavabo .Areá de lazer com piscinas termais , sauna , recepção 24 horas , estacionamento coberto .Localização setor nobre ( Bandeirantes ) a 5 minutos do centro código do imóvel n 5134valor do imóvel R$ 145.000,00 Valor do condomínio R$ 400,00 Tim 064 Ver dados Claro 064 Ver dados WhatsAppClaro 064 Ver dados Vivo 64 Ver dadosSede própria no Shopping Tropical Nivel A Sl. 02Praça Gilson Ribeiro de Macedo N° 15Caldas Novas - GO, Ver dados **As informações e a disponibilidade dos imóveis acima são de responsabilidade dos proprietários dos mesmos e poderão ser alteradas a qualquer momento devendo sempre serem confirmadas com a equipe de atendimento Santana Imoveis.** - Última Atualização: 06/12/2018"
1400000.0,600.0,Samambaia,0,Qs 310 Prédio 10 Unidades Alugado Qs 310 Prédio 10 Unidades Alugado,"Quadra QS 310 PRÉDIO 10 UNIDADES ALUGADO, Samambaia Sul, Samambaia Quadra QS 310 PRÉDIO 10 UNIDADES ALUGADO, Samambaia Sul, Samambaia","Prédio bom para investimento, localizado na QS 310, 2, avenida sul, de frente ao supermercado Mineirão. Lote vazado de 150 m2 e prédio com 600m2 de área construída; Subsolo 150m2 entrada independente Térreo 150 m2 1. pavimento 4 kits 2. pavimento 4 kits Previsão de lauguel em torno de 10.000,00 (2.500 subsolo, 3.000 térreo e 500,00 cada kit); Bom padrão de acabamento! Confira! (Os preços e informações poderão sofrer mudanças sem aviso prévio. Por este motivo, solicitamos a confirmação com nossos consultores.)"
1280000.0,634.0,Goiás,0,Qd 14 Lote 01 - Venda Qd 14 Lote 01 - Venda,"Quadra 14 lote 01, Aguas Lindas de Goias, Águas Lindas de Goiás Quadra 14 lote 01, Aguas Lindas de Goias, Águas Lindas de Goiás","Atenção Investidores!!! Excelente prédio para investimento com localização privilegiada!! Renda Garantida - R$ 9,000,00. * 6 lojas c/ mezanino,.com área total de 320m² * 4 aptos ( 01 qto, wc, cozinha e area de serviço) * 1 apto ( 02 qtos, wc, cozinha e area de serviço) 200 m² Escritura e Habite-se ok! Agende sua visita! ***VISITE A NOSSA PÁGINA: www.casadoimovell.com.br *** Ver dados/ Ver dados Ver dados//zap - Shirley Ver dados - - Ribamar"
5700000.0,5182.0,Paranoá,0,"Área Comercial Itapoã, Paranoá Df 250, Brasília Df Área Comercial Itapoã, Paranoá Df 250, Brasília Df","Quadra, Itapoa I, Paranoá Quadra, Itapoa I, Paranoá","ATT Imóveis VENDE ou ALUGA excelente área na região do Itapoã / Paranoá, composta por Trata se do melhor e mais bem localizado terreno da região ITAPOÃ/PARANOÁ, excelente para instalação de HIPERMERCADOS, ATACADISTAS, TEMPLOS RELIGIOSOS, COMPLEXOS COMERCIAIS com amplo estacionamento possibilitando atender uma demanda cada dia crescente na região. Este terreno conta 5.182m² de área, terreno plano, próximo da rotatória que distribui os acessos dos veículos ao LAGO NORTE, PARANOÁ, SETOR DE MANSÕES DO LAGO NORTE, LAGO SUL, de frente para a DF 250 e a 400 metros do complexo comercial que o GRUPO SUPERCEI construiu na região, Características: > 5.182m² de terreno; > Plano; > Excelente Localização; > Fácil acesso; > A 400 metros do complexo comercial do Grupo SUPERCEI; Estudamos propostas com formas de pagamento. Estudamos também planos de LOCAÇÃO!!!! Agende já uma visita com um de nossos consultores"
990000.0,183.0,Asa Sul,0,Loja De Rua W2 Sul 183 m Térreo + Subsolo Aceita Financiamento Loja De Rua W2 Sul 183 m Térreo + Subsolo Aceita Financiamento,"crs 514 , Asa Sul, Brasília crs 514 , Asa Sul, Brasília","Um Imóvel com Exclusividade F2 Imóveis: Excelente loja de rua com 183m² de área privativa, sendo térreo + subsolo. Localizada em área comercial nobre a SCRS 514 é uma região com grande fluxo de carros e pessoas. Oportunidade de investimento para retorno de locação ou ampliar o seu negócio. Aceita financiamento com entrada a partir de 5% (Banco BRB) Para visitas e maiores informações (61) Ver dados ou (61) Ver dados"
3500000.0,1000.0,Park Sul,0,Strc Trecho 04 Strc Trecho 04,"STRC TRECHO 04, Park Sul, Brasília STRC TRECHO 04, Park Sul, Brasília",Vendo lote de 3000 mil metros com galpão de 1100 metros quadrados
278840.0,31.0,Asa Sul,0,"Sala Brasil Xxi 31,08 m² Sala Brasil Xxi 31,08 m²",", Asa Sul, Brasília , Asa Sul, Brasília","Sala para venda e locação no Complexo Brasil 21.Áreas de 31,08 m² em um complexo situado às margens do Eixo Monumental e a 13 km do aeroporto JK.O complexo Brasil 21 possui localização privilegiada: está no Setor Hoteleiro, a poucos minutos dos principais pontos turísticos de Brasília.Além de contar com o que há de mais moderno para sua segurança 24h, o Brasil 21 conta com garagem coberta com manobrista, circuito interno de TV, equipe especializada em segurança da informação, entre outros.No Brasil 21 é possível encontrar opções de serviços, lazer, conforto, gastronomia, centro de negócios e segurança. Conta com 3 hotéis, 3 torres comerciais, Centro de Eventos, garagem, auditórios, lojas, bares e restaurantes.O Complexo possui diversos serviços e facilidades para que seu passeio seja perfeito, como heliponto, lavanderia, sauna, piscina, valet de estacionamento, wi-fi, benefícios para os condôminos, etc.Marque uma visita!*Somos correspondentes bancário. Financie seu imóvel AQUI*.Mais informações por telefone ou Whatsapp:(61) Ver dados(61) Ver dados/5007(61) Ver dadoswww.atalaiadf.com.br - 21/08/2018"
